Tag	p.value	HR	Low 95%CI	High 95%CI
SNX21	0.894	1.018	0.78	1.33
SEM1	0.088	1.272	0.965	1.677
GASK1A	0.184	1.146	0.937	1.4
PDE2A	0.082	1.196	0.978	1.462
GRP	0.015	1.207	1.038	1.405
MYOM1	0.616	1.047	0.875	1.252
FERMT2	0.087	1.14	0.981	1.323
JAM3	0.082	1.166	0.981	1.387
FADS2	0.697	0.969	0.828	1.134
ZNF790	0.553	1.073	0.851	1.353
PPP1R12B	0.445	1.048	0.93	1.181
RBM47	0.302	0.89	0.712	1.111
COL1A1	0.258	1.077	0.947	1.224
SNRPF	0.857	1.028	0.76	1.392
AP1S2	0.807	1.028	0.826	1.278
OMD	0.109	1.108	0.977	1.256
EPAS1	0.4	1.122	0.858	1.467
RGS9	0.61	1.072	0.822	1.397
CACNA1C	0.755	1.026	0.873	1.206
BMPR1B	0.433	1.086	0.883	1.336
GNAI2	0.822	1.037	0.757	1.42
ANKRD29	0.319	1.103	0.91	1.337
TTLL11	0.777	1.044	0.776	1.404
TPSB2	0.811	1.015	0.897	1.149
DIO2	0.672	0.964	0.813	1.143
TOX	0.484	0.948	0.817	1.101
RAB31	0.214	1.131	0.931	1.373
ANXA5	0.02	1.436	1.059	1.946
CPM	0.337	1.079	0.924	1.262
ZNF844	0.616	1.057	0.852	1.311
PKIG	0.345	1.106	0.897	1.364
AP1M1	0.036	1.5	1.026	2.193
LIX1L	0.27	1.128	0.911	1.396
SYN1	0.073	1.197	0.983	1.458
AHNAK2	0.102	1.102	0.981	1.238
TM4SF18	0.134	1.232	0.938	1.618
ADGRF5	0.351	1.119	0.883	1.418
CPA3	0.277	1.075	0.944	1.225
CA11	0.63	1.064	0.827	1.369
CPAMD8	0.298	1.178	0.865	1.606
PCDHB9	0.496	1.089	0.852	1.394
TECPR2	0.264	1.194	0.874	1.631
CCN2	0.101	1.152	0.973	1.365
PYGO1	0.009	1.294	1.065	1.573
PHLDB1	0.178	1.182	0.926	1.509
SDK1	0.94	0.993	0.831	1.187
LTBP3	0.123	1.165	0.959	1.414
C2orf74	0.5	1.101	0.833	1.455
ITPKB	0.926	0.991	0.812	1.209
ARHGAP28	0.245	1.158	0.904	1.483
PCDHB15	0.613	1.064	0.836	1.355
TEAD1	0.327	1.11	0.901	1.369
SRPX	0.179	1.097	0.959	1.254
LEF1	0.916	0.989	0.809	1.21
MDGA1	0.655	1.069	0.798	1.432
PHACTR1	0.917	0.985	0.75	1.295
MLLT11	0.745	1.032	0.852	1.251
GPR63	0.417	1.145	0.826	1.588
ITGA1	0.289	1.105	0.919	1.33
FAM149A	0.752	0.969	0.798	1.177
BBS5	0.895	1.022	0.739	1.414
ZNF569	0.38	1.139	0.852	1.522
PRAF2	0.17	1.181	0.931	1.499
BOC	0.099	1.127	0.978	1.299
GNG8	0.209	0.844	0.648	1.1
BMP6	0.079	1.203	0.979	1.478
ARHGEF37	0.164	0.863	0.702	1.062
TPGS1	0.173	0.799	0.578	1.104
SCUBE1	0.087	1.206	0.973	1.495
TEK	0.392	1.105	0.879	1.388
COL7A1	0.606	0.963	0.834	1.112
TMOD2	0.21	1.178	0.912	1.522
SULT1C4	0.47	1.074	0.886	1.301
TNRC6C	0.601	0.932	0.718	1.212
TAGLN	0.233	1.063	0.961	1.177
DOCK11	0.492	1.069	0.884	1.293
SV2A	0.501	1.068	0.882	1.293
C1QTNF1	0.635	1.04	0.885	1.223
SMPD1	0.343	1.144	0.866	1.51
GPC3	0.015	1.111	1.02	1.21
EOGT	0.742	1.044	0.809	1.347
VEGFC	0.225	1.161	0.912	1.479
NES	0.69	1.038	0.865	1.245
EML1	0.567	1.051	0.886	1.247
BNC2	0.26	1.109	0.926	1.329
SEMA3D	0.801	1.028	0.828	1.278
UNC5B	0.913	1.011	0.831	1.23
EFHC2	0.201	1.196	0.909	1.574
PRND	0.249	1.153	0.905	1.469
CCL14	0.197	1.204	0.908	1.596
PDE7B	0.188	1.133	0.941	1.364
SEMA3G	0.626	1.052	0.857	1.291
MPDZ	0.062	1.193	0.991	1.435
CTSK	0.485	1.066	0.891	1.274
CCDC107	0.973	1.005	0.756	1.336
PID1	0.425	1.064	0.914	1.238
POPDC2	0.636	1.034	0.901	1.186
DOC2B	0.059	0.864	0.742	1.006
SEMA5A	0.748	1.033	0.849	1.255
LATS2	0.544	1.093	0.82	1.455
HACD1	0.236	1.111	0.934	1.321
COL8A1	0.203	1.088	0.955	1.239
CPZ	0.026	1.384	1.039	1.842
HIGD1B	0.08	1.402	0.961	2.046
USP51	0.114	1.241	0.949	1.623
COX5A	0.742	0.944	0.671	1.328
ADAMTS6	0.167	1.225	0.919	1.634
CXCL12	0.955	1.005	0.858	1.176
LINC00672	0.466	1.136	0.806	1.602
VMAC	0.687	0.932	0.662	1.312
FLRT2	0.11	1.222	0.956	1.561
TNS1	0.464	1.047	0.926	1.184
BCAT1	0.365	1.075	0.92	1.256
SLC36A4	0.693	1.053	0.816	1.357
GFRA3	0.201	1.088	0.956	1.239
APOD	0.062	1.088	0.996	1.189
GPR1	0.214	1.224	0.89	1.684
IL6ST	0.627	1.06	0.837	1.344
NRXN3	0.288	1.09	0.93	1.277
SBSPON	0.234	0.908	0.775	1.064
ANKRD65	0.41	1.07	0.911	1.256
SYTL4	0.805	0.965	0.728	1.279
ZNF385B	0.985	1.002	0.791	1.27
ECRG4	0.506	1.034	0.937	1.141
ARMH4	0.011	1.524	1.101	2.11
MMD	0.069	1.217	0.985	1.503
PEA15	0.248	1.212	0.874	1.681
ZNF549	0.41	1.128	0.847	1.503
PLN	0.193	1.065	0.969	1.171
NDNF	0.183	1.108	0.953	1.287
WFDC1	0.644	1.053	0.845	1.312
PLEKHA4	0.793	1.025	0.853	1.231
HEG1	0.27	1.119	0.916	1.366
SPACA6	0.472	1.11	0.836	1.473
ARL2BP	0.514	1.105	0.818	1.493
SH2D3C	0.86	1.023	0.795	1.317
LIN7A	0.138	1.215	0.939	1.571
GABRD	0.564	1.071	0.849	1.35
GATA2	0.972	1.004	0.801	1.259
ADGRD1	0.124	1.162	0.96	1.408
NAP1L5	0.17	1.192	0.928	1.531
GHR	0.046	1.224	1.004	1.493
EFNA4	0.185	0.853	0.675	1.079
LCN2	0.473	0.973	0.901	1.049
GPR155	0.557	0.95	0.8	1.128
PTGIR	0.52	1.094	0.831	1.44
FADS1	0.951	1.006	0.84	1.205
ZNF568	0.511	1.12	0.798	1.574
HAND2	0.357	1.046	0.951	1.151
KLHDC1	0.862	1.028	0.756	1.397
SMIM10L2A	0.167	1.233	0.916	1.659
RRAGA	0.482	1.131	0.802	1.594
PDLIM4	0.423	1.069	0.908	1.258
GNG11	0.077	1.216	0.979	1.51
PDLIM7	0.12	1.147	0.965	1.364
RTL8C	0.064	1.247	0.988	1.574
TNXB	0.367	1.065	0.929	1.221
ZNF71	0.444	1.094	0.869	1.379
KIRREL1	0.12	1.171	0.96	1.43
COL4A2	0.115	1.164	0.964	1.407
RAMP2	0.45	1.084	0.879	1.336
SMTN	0.581	1.044	0.896	1.216
MAP1A	0.784	1.023	0.867	1.207
TUSC1	0.619	0.951	0.78	1.16
NXPH3	0.427	1.069	0.907	1.258
PLAU	0.405	1.071	0.911	1.258
CNPY2	0.591	0.9	0.612	1.323
GLIPR1	0.193	1.125	0.942	1.343
ADAMTS8	0.016	1.197	1.034	1.386
ENPP1	0.403	1.114	0.865	1.434
CNTN4	0.047	1.297	1.003	1.677
PAM	0.641	1.05	0.854	1.292
HOXA2	0.523	1.068	0.873	1.305
PBX3	0.474	1.075	0.881	1.312
ZNF362	0.353	1.129	0.874	1.46
DMPK	0.692	1.036	0.871	1.231
NRIP2	0.939	0.989	0.749	1.307
CRY2	0.547	1.099	0.808	1.496
ORAI3	0.155	1.255	0.918	1.715
SORBS1	0.546	1.036	0.923	1.164
RAB34	0.007	1.255	1.064	1.48
ABCA3	0.143	1.125	0.961	1.316
WASF1	0.301	1.096	0.921	1.305
ADAMTS5	0.119	1.236	0.947	1.613
ANTXR1	0.131	1.127	0.965	1.316
UBTD1	0.266	1.149	0.899	1.469
BIK	0.342	0.923	0.783	1.088
MYRIP	0.959	0.994	0.802	1.232
TPM2	0.227	1.074	0.957	1.206
IL17D	0.5	1.108	0.822	1.494
FOXP2	0.255	1.109	0.928	1.326
KLF8	0.765	1.046	0.78	1.403
NOG	0.115	1.186	0.959	1.465
GPER1	0.973	1.003	0.843	1.193
RERGL	0.59	1.058	0.861	1.302
FLNA	0.134	1.098	0.972	1.242
IGFBP6	0.279	1.098	0.927	1.299
DIP2C	0.645	1.057	0.834	1.34
CHIC1	0.156	1.149	0.948	1.393
CNRIP1	0.216	1.158	0.918	1.46
ARHGEF10	0.17	1.16	0.939	1.433
PDGFRL	0.037	1.187	1.01	1.394
FILIP1L	0.355	1.084	0.914	1.286
SNX29	0.165	1.234	0.917	1.662
RASA3	0.625	1.054	0.853	1.303
UBE2E2	0.161	1.173	0.939	1.465
NMUR1	0.252	1.152	0.904	1.468
INAFM2	0.097	1.18	0.97	1.435
LMO2	0.386	0.893	0.691	1.154
PHF21A	0.72	0.942	0.681	1.304
NFIA	0.811	1.026	0.83	1.269
TBXA2R	0.52	1.101	0.821	1.477
ST6GALNAC3	0.016	1.412	1.066	1.871
AEBP1	0.151	1.114	0.961	1.291
ABHD11	0.426	0.915	0.736	1.138
THSD4	0.459	1.077	0.885	1.31
TSPO	0.484	0.92	0.728	1.162
PI15	0.895	0.99	0.853	1.149
BAHCC1	0.987	1.002	0.812	1.236
ASPN	0.193	1.081	0.961	1.215
MARK1	0.652	1.041	0.875	1.238
MAGED2	0.293	1.153	0.884	1.504
CLU	0.461	1.042	0.934	1.162
GALNT15	0.08	1.18	0.981	1.419
EFEMP2	0.31	1.103	0.913	1.332
MEGF6	0.673	1.039	0.869	1.243
TWIST1	0.414	1.07	0.91	1.258
RGMB	0.397	1.098	0.885	1.362
CTIF	0.775	1.04	0.796	1.358
ITGA11	0.235	1.1	0.94	1.286
HAS2	0.861	1.018	0.833	1.244
ELOVL5	0.886	0.987	0.824	1.182
COX7A1	0.624	1.051	0.863	1.28
MYLIP	0.329	1.146	0.872	1.505
GAMT	0.012	1.186	1.039	1.354
RUSC2	0.208	1.168	0.917	1.486
DZIP1	0.257	1.132	0.913	1.403
PXDC1	0.027	1.289	1.029	1.614
SLIT3	0.129	1.121	0.967	1.298
CHST15	0.348	1.08	0.92	1.268
SFRP1	0.251	1.063	0.958	1.18
KCNAB1	0.826	0.959	0.659	1.395
MDFIC	0.183	1.154	0.934	1.426
CCDC74A	0.025	1.306	1.034	1.651
HTR2B	0.04	1.207	1.009	1.444
RNF150	0.173	1.108	0.956	1.285
RASSF8	0.116	1.141	0.968	1.346
LRRC17	0.283	1.126	0.907	1.397
ZNF469	0.472	1.072	0.888	1.294
TMEM8B	0.461	0.908	0.703	1.173
FAM20C	0.368	1.093	0.901	1.326
HEY1	0.861	1.022	0.803	1.301
SSPN	0.074	1.161	0.985	1.369
BRD3OS	0.775	1.045	0.773	1.413
C17orf107	0.459	1.119	0.832	1.504
ZNF521	0.142	1.18	0.946	1.473
GJA1	0.005	1.279	1.078	1.517
FAM229B	0.055	1.247	0.996	1.563
OGN	0.39	1.038	0.953	1.132
KLF10	0.159	1.216	0.926	1.596
F8	0.057	1.285	0.992	1.664
TLE4	0.627	1.065	0.827	1.371
MMP12	0.149	0.94	0.864	1.022
SAMD11	0.256	1.114	0.925	1.342
C4B	0.278	1.091	0.932	1.276
MMP16	0.044	1.384	1.009	1.898
ADCYAP1	0.002	1.414	1.131	1.767
ZNF580	0.989	0.998	0.714	1.395
IL34	0.532	1.066	0.873	1.3
TMEM130	0.236	1.133	0.922	1.394
MCRIP1	0.202	1.175	0.917	1.505
ENTPD1	0.726	0.949	0.709	1.27
PDPN	0.865	1.016	0.844	1.224
CSRP2	0.547	1.075	0.849	1.361
BTG2	0.79	1.03	0.831	1.276
POSTN	0.067	1.143	0.991	1.319
CHST14	0.152	1.217	0.93	1.592
ZBTB10	0.064	1.198	0.99	1.451
GPX3	0.014	1.197	1.038	1.381
RAB23	0.317	1.086	0.924	1.277
RNF152	0.203	1.189	0.911	1.553
NIPAL4	0.342	1.099	0.904	1.337
RMDN2	0.136	1.25	0.932	1.676
SH3BGRL	0.115	1.175	0.961	1.436
PCDHB11	0.356	1.083	0.914	1.284
PPM1F	0.886	0.977	0.712	1.34
ROR2	0.074	1.147	0.987	1.334
SERPINE2	0.401	1.067	0.917	1.242
SPART	0.806	1.023	0.855	1.224
CALU	0.189	1.191	0.918	1.545
PIEZO2	0.022	1.355	1.046	1.755
KLHL38	0.033	1.405	1.028	1.92
DUSP10	0.492	1.074	0.876	1.316
GPBAR1	0.62	1.045	0.877	1.246
LHX6	0.008	1.429	1.096	1.863
REEP1	0.604	1.043	0.89	1.221
TMEM100	0.157	1.125	0.956	1.323
GRK5	0.129	0.824	0.642	1.058
RFTN2	0.559	1.115	0.774	1.606
FOXS1	0.077	1.176	0.983	1.407
ROBO1	0.934	1.008	0.83	1.224
LRRC4	0.762	1.041	0.801	1.353
HMCN2	0.994	0.999	0.816	1.223
OXTR	0.176	1.186	0.927	1.518
CNN2	0.452	1.095	0.864	1.387
ANO5	0.032	1.218	1.017	1.459
SMAD9	1	1	0.868	1.152
ATXN1	0.208	1.186	0.909	1.547
GNB4	0.288	1.116	0.911	1.367
TUBG2	0.08	1.272	0.972	1.666
HAS1	0.227	1.118	0.933	1.341
MSC	0.612	1.052	0.865	1.28
GJC2	0.663	0.956	0.783	1.168
GALNT18	0.125	1.209	0.949	1.541
MCRIP2	0.413	0.883	0.655	1.19
SGCE	0.032	1.19	1.015	1.397
CACNG4	0.33	1.059	0.943	1.19
FBXO27	0.253	1.101	0.933	1.298
PAQR7	0.049	1.264	1.001	1.596
IL6	0.613	1.033	0.912	1.17
SYDE1	0.196	1.147	0.932	1.412
KLHDC8B	0.143	1.189	0.943	1.499
P2RY14	0.238	1.111	0.933	1.325
MMRN1	0.13	1.141	0.962	1.352
GSTT2B	0.77	1.026	0.865	1.216
IGFBP4	0.389	1.071	0.917	1.25
SH3RF3	0.697	1.044	0.841	1.296
MMP24	0.783	1.028	0.843	1.254
ACTB	0.205	1.232	0.892	1.701
PCP4L1	0.542	1.042	0.913	1.188
COL13A1	0.981	1.004	0.715	1.411
CEBPD	0.099	1.222	0.963	1.551
NCS1	0.967	0.997	0.852	1.166
IGSF9B	0.748	0.974	0.831	1.142
SAMD14	0.395	1.17	0.815	1.68
CTSF	0.146	1.12	0.961	1.306
TMEM91	0.06	1.472	0.984	2.204
ITGB3	0.168	1.167	0.937	1.454
CYP20A1	0.369	0.841	0.576	1.227
CITED2	0.121	1.208	0.951	1.534
LMOD1	0.268	1.052	0.961	1.152
ADCY9	0.481	1.094	0.853	1.402
GFOD1	0.347	1.127	0.878	1.447
AOC3	0.3	1.067	0.944	1.207
PCOLCE2	0.008	1.274	1.065	1.523
TIE1	0.297	1.127	0.9	1.412
VASN	0.275	1.12	0.914	1.372
THBS2	0.172	1.084	0.966	1.216
SOD3	0.397	1.062	0.924	1.221
TRIM6	0.016	1.427	1.068	1.906
CLEC1A	0.72	1.062	0.765	1.474
ENAH	0.471	1.079	0.877	1.327
CD99	0.4	1.124	0.856	1.477
STARD8	0.047	1.311	1.004	1.713
TWIST2	0.65	1.038	0.884	1.219
IFFO1	0.87	1.023	0.78	1.341
ZNF853	0.271	1.089	0.935	1.269
FHOD3	0.646	1.054	0.843	1.316
SPINT1	0.614	1.05	0.869	1.268
SGTB	0.681	1.066	0.786	1.445
LGI2	0.772	0.976	0.831	1.147
FZD7	0.002	1.286	1.096	1.509
CPED1	0.36	1.066	0.93	1.221
TPSAB1	0.849	1.013	0.89	1.152
SELP	0.451	1.059	0.912	1.23
NOX4	0.018	1.427	1.064	1.914
TPST1	0.272	1.122	0.914	1.377
SOGA1	0.478	1.069	0.889	1.286
TNN	0.122	1.162	0.961	1.405
PRNP	0.141	1.159	0.953	1.409
ZNF329	0.856	0.978	0.771	1.241
EFR3B	0.42	0.895	0.683	1.173
FOXF1	0.769	1.024	0.873	1.202
DUSP19	0.693	0.939	0.687	1.284
TIMP1	0.293	1.107	0.916	1.339
